Name,Address,Tell
이소 판교 유스페이스,경기 성남시 분당구 대왕판교로 660 (삼평동) ,전화번호 : 031-628-1212
이소 경안점,경기 광주시 경안로 14-3 (경안동) ,전화번호 : 031-797-2523
이소 탄현점,"경기 고양시 일산서구 일현로 97-11 (탄현동, 일산 위브더제니스) ",전화번호 : 031-913-7111
이소 부천점,경기 부천시 원미구 소향로 241 (중동) ,전화번호 : 032-323-3711
이소 거여점,서울 송파구 양산로 40-11 (거여동) ,전화번호 : 02-408-5110
이소 영천점,경북 영천시 충효로 81 (문외동) ,전화번호 : 054-336-8111
이소 고령점,경북 고령군 대가야읍 우륵로 25 ,전화번호 : 054-954-5777
이소 경산점,경북 경산시 중앙로14길 1 (중방동) ,전화번호 : 053-811-5111
이소 포항양덕점,경북 포항시 북구 장량로173번길 7 (양덕동) ,전화번호 : 054-255-5111
이소 구미구평점,경북 구미시 인동36길 16 (진평동) ,전화번호 : 054-473-4111
이소 하양점,경북 경산시 하양읍 하양로 61-1 ,전화번호 : 053-853-5111
이소 포항문덕점,경북 포항시 남구 오천읍 원동로 58-1 ,전화번호 : 054-291-7111
이소 영대점,경북 경산시 청운로 13 (대동) ,전화번호 : 053-801-9111
이소 다사점,대구 달성군 다사읍 대실역북로1길 17 ,전화번호 : 053-591-3111
이소 이곡점,대구 달서구 이곡동로 17 (이곡동) ,전화번호 : 053-586-5115
이소 신암점,대구 동구 신암로 80 (신암동) ,전화번호 : 053-959-7111
이소 봉덕점,대구 남구 신촌길 16 (봉덕동) ,전화번호 : 053-471-3111
이소 시지광장점,대구 수성구 신매로19길 23-5 (신매동) ,전화번호 : 053-794-8111
이소 금호지구,대구 북구 한강로 48 (사수동) ,전화번호 : 053-324-4111
이소 신서혁신도시,대구 동구 이노밸리로 162 (각산동) ,전화번호 : 053-964-6111
이소 논공점,대구 달성군 논공읍 논공로 738-1 ,전화번호 : 053-617-5114
이소용산직영점,대구 달서구 용산로 230 (용산동) ,전화번호 : 053-557-0111
이소 중리 롯데캐슬점,"대구 서구 국채보상로34길 12 (중리동, 중리롯데캐슬) ",전화번호 : 053-571-5111
이소 진천점,"대구 달서구 월배로 51 (유천동, 진천역AK그랑폴리스) ak그랑폴리스상가 202동 113호",전화번호 : 053-635-2411
이소 황금점,대구 수성구 청수로35길 97 (황금동) ,전화번호 : 053-763-8111
이소 월성점,"대구 달서구 조암로6길 19 (월성동, 월성월드메르디앙) 105동 상가 1층",전화번호 : 053-636-6111
이소 대곡점,대구 달서구 한실로 67 (도원동) ,전화번호 : 053-635-5123
이소 수성4가점,"대구 수성구 수성로 393 (수성동4가, 수성하이츠) ",전화번호 : 053-752-9111
칠곡구암점,대구 북구 구암로 148 (구암동) ,전화번호 : 053-321-4111
이소 메트로점,"대구 수성구 동원로 123 (만촌동, 메트로팔레스2단지아파트) ",전화번호 : 053-753-8111
이소 계명대점,대구 달서구 서당로9길 39 (신당동) ,전화번호 : 053-583-6111
이소 율하점,대구 동구 안심로22길 52 (율하동) 1층,전화번호 : 053-961-5333
이소 감삼점,대구 달서구 장기로 182 (감삼동) 1층,전화번호 : 053-567-5250
이소 상인롯데점,"대구 달서구 상인서로 76 (상인동, 상인영남화성타운) 상가 1층 이소떡",전화번호 : 053-636-5111
이소 상인점,대구 달서구 상원로 128 (상인동) 1층,전화번호 : 053-631-2111
이소 침산점,"대구 북구 침산남로 160 (침산동, 롯데캐슬오페라아파트) 1층",전화번호 : 053-352-4777
이소 경대점,대구 북구 산격로6길 29 (산격동) 2층 이소떡,전화번호 : 053-955-3323
동성로점,대구 중구 동성로5길 32 (삼덕동1가) 2층,전화번호 : 동성로점
이소 지산점,대구 수성구 용학로 158 (지산동) 1층,전화번호 : 053-781-6111
